"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",53,74,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"ship","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"ship","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"board","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"board","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"flower","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"flower","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"computer","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"computer","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"art","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"art","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"ship","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"ship","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"board","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"board","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"flower","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"flower","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"computer","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"computer","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"art","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"art","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"ship","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"ship","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"board","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"board","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"flower","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"flower","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"computer","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"computer","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"art","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"art","d","HIT","",NA,NA,NA,"","","",NA,NA,126,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"","","","",NA,NA,NA,"","","",NA,NA,126,2
"storm","l","No","",NA,NA,1,"[1.8642220001202077]","","",NA,NA,126,2
"glass","l","No","",NA,NA,1,"[0.8011598000302911]","","",NA,NA,126,2
"umbrella","l","No","",NA,NA,1,"[0.9505241001024842]","","",NA,NA,126,2
"glass","d","HIT","",NA,NA,0,"[1.150194900110364]","","",NA,NA,126,2
"farm","l","No","",NA,NA,1,"[1.300489699933678]","","",NA,NA,126,2
"air","l","No","",NA,NA,1,"[0.8836551001295447]","","",NA,NA,126,2
"farm","d","HIT","",NA,NA,1,"[0.9672716001514345]","","",NA,NA,126,2
"white","l","No","",NA,NA,1,"[0.867023800034076]","","",NA,NA,126,2
"rough","l","No","",NA,NA,1,"[1.7169886999763548]","","",NA,NA,126,2
"white","d","HIT","",NA,NA,1,"[0.6332795000635087]","","",NA,NA,126,2
"passage","l","No","",NA,NA,1,"[0.9004671999718994]","","",NA,NA,126,2
"education","l","No","",NA,NA,1,"[1.0172544000670314]","","",NA,NA,126,2
"passage","d","HIT","",NA,NA,1,"[0.6005899000447243]","","",NA,NA,126,2
"clock","l","No","",NA,NA,1,"[0.9504029001109302]","","",NA,NA,126,2
"rough","l","No","",NA,NA,1,"[1.0839627999812365]","","",NA,NA,126,2
"clock","d","HIT","",NA,NA,1,"[0.6506764001678675]","","",NA,NA,126,2
"trumpet","l","No","",NA,NA,1,"[0.9834692000877112]","","",NA,NA,126,2
"violin","l","No","",NA,NA,1,"[0.9839761001057923]","","",NA,NA,126,2
"ankle","l","No","",NA,NA,1,"[0.7677734999451786]","","",NA,NA,126,2
"crisis","l","No","",NA,NA,1,"[0.8506309001240879]","","",NA,NA,126,2
"ankle","d","HIT","",NA,NA,1,"[0.6505890002008528]","","",NA,NA,126,2
"mistake","l","No","",NA,NA,1,"[0.717566000064835]","","",NA,NA,126,2
"education","l","No","",NA,NA,1,"[0.883804599987343]","","",NA,NA,126,2
"mistake","d","HIT","",NA,NA,1,"[0.5833944999612868]","","",NA,NA,126,2
"trumpet","l","No","",NA,NA,1,"[0.7675137999467552]","","",NA,NA,126,2
"bar","l","No","",NA,NA,0,"[1.2670668999198824]","","",NA,NA,126,2
"violin","l","No","",NA,NA,1,"[1.017181099858135]","","",NA,NA,126,2
"bar","d","HIT","",NA,NA,1,"[0.600622900063172]","","",NA,NA,126,2
"tree","l","No","",NA,NA,1,"[0.6671174999792129]","","",NA,NA,126,2
"storm","l","No","",NA,NA,1,"[0.9162672001402825]","","",NA,NA,126,2
"tree","d","HIT","",NA,NA,1,"[0.5671071000397205]","","",NA,NA,126,2
"news","l","No","",NA,NA,1,"[0.7676282001193613]","","",NA,NA,126,2
"air","l","No","",NA,NA,1,"[0.6505448999814689]","","",NA,NA,126,2
"news","d","HIT","",NA,NA,1,"[0.5505506000481546]","","",NA,NA,126,2
"dirty","l","No","",NA,NA,1,"[0.8172573999036103]","","",NA,NA,126,2
"umbrella","l","No","",NA,NA,1,"[1.000567500013858]","","",NA,NA,126,2
"dirty","d","HIT","",NA,NA,1,"[0.6341154999099672]","","",NA,NA,126,2
"manner","l","No","",NA,NA,1,"[0.6837416000198573]","","",NA,NA,126,2
"crisis","l","No","",NA,NA,1,"[0.7337823000270873]","","",NA,NA,126,2
"manner","d","HIT","",NA,NA,1,"[0.5338003998622298]","","",NA,NA,126,2
"","","","village",NA,NA,NA,"","","",NA,NA,126,2
"","","","circle",NA,NA,NA,"","","",NA,NA,126,2
"","","","detail",NA,NA,NA,"","","",NA,NA,126,2
"","","","village",NA,NA,NA,"","","",NA,NA,126,2
"","","","detail",NA,NA,NA,"","","",NA,NA,126,2
"","","","circle",NA,NA,NA,"","","",NA,NA,126,2
"","","","",31,29,NA,"","","",NA,NA,126,2
"","","","",31,32,NA,"","","",NA,NA,126,2
"finger","l","No","",NA,NA,NA,"","[]","None",0,NA,126,2
"person","l","No","",NA,NA,NA,"","[0.4838391998782754, 2.266790699912235]","['l', 'l']",1,NA,126,2
"barrel","l","No ","",NA,NA,NA,"","[1.3337467000819743]","['l']",1,NA,126,2
"person","d","HIT","",NA,NA,NA,"","[1.2839371000882238]","['d']",1,NA,126,2
"window","l","No","",NA,NA,NA,"","[2.350289100082591]","['l']",1,NA,126,2
"capable","l","No ","",NA,NA,NA,"","[1.2838872000575066]","['l']",1,NA,126,2
"window","d","HIT","",NA,NA,NA,"","[1.2504084999673069]","['d']",1,NA,126,2
"answer","l","No ","",NA,NA,NA,"","[1.250586099922657]","['l']",1,NA,126,2
"horse","l","No","",NA,NA,NA,"","[1.6502547001000494]","['l']",1,NA,126,2
"answer","d","HIT","",NA,NA,NA,"","[0.5839615999720991]","['d']",1,NA,126,2
"smooth","l","No ","",NA,NA,NA,"","[1.7666505998931825]","['l']",1,NA,126,2
"employment","l","No ","",NA,NA,NA,"","[1.384129400132224]","['l']",1,NA,126,2
"smooth","d","HIT","",NA,NA,NA,"","[1.3009547998663038]","['d']",1,NA,126,2
"detail","h","PM cue","",NA,NA,NA,"","[2.0503857999574393]","['h']",1,NA,126,2
"radio","l","No ","",NA,NA,NA,"","[]","None",0,NA,126,2
"finger","l","No ","",NA,NA,NA,"","[1.7508658000733703]","['l']",1,NA,126,2
"radio","d","HIT","",NA,NA,NA,"","[0.5843771998770535]","['d']",1,NA,126,2
"grass","l","No ","",NA,NA,NA,"","[1.5509374998509884]","['l']",1,NA,126,2
"broken","l","No ","",NA,NA,NA,"","[1.7167301999870688]","['l']",1,NA,126,2
"grass","d","HIT","",NA,NA,NA,"","[0.6669524998869747]","['d']",1,NA,126,2
"table","l","No ","",NA,NA,NA,"","[1.2503380000125617]","['l']",1,NA,126,2
"rifle","l","No ","",NA,NA,NA,"","[1.2169804000295699]","['l']",1,NA,126,2
"table","d","HIT","",NA,NA,NA,"","[0.9507564997766167]","['d']",1,NA,126,2
"alert","l","No ","",NA,NA,NA,"","[1.033682000124827]","['l']",1,NA,126,2
"village","h","PM cue","",NA,NA,NA,"","[1.8504859001841396]","['h']",1,NA,126,2
"favour","l","No ","",NA,NA,NA,"","[]","None",0,NA,126,2
"barrel","l","No ","",NA,NA,NA,"","[1.1171820000745356]","['l']",1,NA,126,2
"favour","d","HIT","",NA,NA,NA,"","[0.5670936999376863]","['d']",1,NA,126,2
"material","l","No ","",NA,NA,NA,"","[1.2005119998939335]","['l']",1,NA,126,2
"employment","l","No ","",NA,NA,NA,"","[1.3502944000065327]","['l']",1,NA,126,2
"material","d","HIT","",NA,NA,NA,"","[0.633866999996826]","['d']",1,NA,126,2
"hospital","l","No ","",NA,NA,NA,"","[0.9506534999236465]","['l']",1,NA,126,2
"colour","l","No","",NA,NA,NA,"","[1.1673258000519127]","['l']",1,NA,126,2
