"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",36,"41.0",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"voyage","l","No","",NA,"",NA,"","","",NA,NA,118,3
"tower","l","No","",NA,"",NA,"","","",NA,NA,118,3
"voyage","d","HIT","",NA,"",NA,"","","",NA,NA,118,3
"book","l","No","",NA,"",NA,"","","",NA,NA,118,3
"tower","l","No","",NA,"",NA,"","","",NA,NA,118,3
"book","d","HIT","",NA,"",NA,"","","",NA,NA,118,3
"dress","l","No","",NA,"",NA,"","","",NA,NA,118,3
"fork","l","No","",NA,"",NA,"","","",NA,NA,118,3
"crime","l","No","",NA,"",NA,"","","",NA,NA,118,3
"fork","d","HIT","",NA,"",NA,"","","",NA,NA,118,3
"memory","l","No","",NA,"",NA,"","","",NA,NA,118,3
"dress","l","No","",NA,"",NA,"","","",NA,NA,118,3
"memory","d","HIT","",NA,"",NA,"","","",NA,NA,118,3
"blond","l","No","",NA,"",NA,"","","",NA,NA,118,3
"crime","l","No","",NA,"",NA,"","","",NA,NA,118,3
"blond","d","HIT","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"","","","",NA,"",NA,"","","",NA,NA,118,3
"elbow","l","No","",NA,"",1,"[1.481716699898243]","","",NA,NA,118,3
"ambition","l","No","",NA,"",1,"[0.7672148998826742]","","",NA,NA,118,3
"elbow","d","HIT","",NA,"",1,"[0.6840203998144716]","","",NA,NA,118,3
"salad","l","No","",NA,"",1,"[0.6675804001279175]","","",NA,NA,118,3
"door","l","No","",NA,"",1,"[1.0007468999829143]","","",NA,NA,118,3
"salad","d","HIT","",NA,"",1,"[0.4838978999760002]","","",NA,NA,118,3
"tool","l","No","",NA,"",1,"[0.6675088000483811]","","",NA,NA,118,3
"health","l","No","",NA,"",1,"[1.0672047000844032]","","",NA,NA,118,3
"ambition","l","No","",NA,"",1,"[1.3505776999518275]","","",NA,NA,118,3
"health","d","HIT","",NA,"",1,"[1.1335661998018622]","","",NA,NA,118,3
"vest","l","No","",NA,"",1,"[0.7492110000457615]","","",NA,NA,118,3
"ugly","l","No","",NA,"",1,"[0.76730199996382]","","",NA,NA,118,3
"vest","d","HIT","",NA,"",1,"[0.41758210002444685]","","",NA,NA,118,3
"face","l","No","",NA,"",1,"[0.7003124000038952]","","",NA,NA,118,3
"rock","l","No","",NA,"",1,"[0.6837046002037823]","","",NA,NA,118,3
"face","d","HIT","",NA,"",1,"[0.6004819998051971]","","",NA,NA,118,3
"bowl","l","No","",NA,"",1,"[0.5839174999855459]","","",NA,NA,118,3
"key","l","No","",NA,"",1,"[1.1837919000536203]","","",NA,NA,118,3
"bowl","d","HIT","",NA,"",1,"[0.5337706999853253]","","",NA,NA,118,3
"moment","l","No","",NA,"",1,"[0.7001725998707116]","","",NA,NA,118,3
"useful","l","No","",NA,"",1,"[0.7500433998648077]","","",NA,NA,118,3
"moment","d","HIT","",NA,"",1,"[0.48367340001277626]","","",NA,NA,118,3
"water","l","No","",NA,"",1,"[0.4836415001191199]","","",NA,NA,118,3
"coast","l","No","",NA,"",1,"[0.8004217001143843]","","",NA,NA,118,3
"key","l","No","",NA,"",1,"[0.7671173000708222]","","",NA,NA,118,3
"coast","d","HIT","",NA,"",1,"[0.7503445001784712]","","",NA,NA,118,3
"plain","l","No","",NA,"",1,"[0.7008791000116616]","","",NA,NA,118,3
"rock","l","No","",NA,"",1,"[1.0337054999545217]","","",NA,NA,118,3
"plain","d","HIT","",NA,"",1,"[0.7328453999944031]","","",NA,NA,118,3
"trunk","l","No","",NA,"",1,"[0.6175341000780463]","","",NA,NA,118,3
"door","l","No","",NA,"",1,"[0.7005215000826865]","","",NA,NA,118,3
"trunk","d","HIT","",NA,"",1,"[0.7173442000057548]","","",NA,NA,118,3
"nervous","l","No","",NA,"",1,"[0.5840100001078099]","","",NA,NA,118,3
"useful","l","No","",NA,"",1,"[1.0337610999122262]","","",NA,NA,118,3
"nervous","d","HIT","",NA,"",1,"[0.6002170001156628]","","",NA,NA,118,3
"quick","l","No","",NA,"",1,"[0.7511441998649389]","","",NA,NA,118,3
"tool","l","No","",NA,"",1,"[0.9007171001285315]","","",NA,NA,118,3
"quick","d","HIT","",NA,"",1,"[0.5507330999244004, 2.1836947998963296]","","",NA,NA,118,3
"water","l","No","",NA,"",1,"[0.7008179000113159]","","",NA,NA,118,3
"ugly","l","No","",NA,"",1,"[1.0501089000608772]","","",NA,NA,118,3
"","","","curious",NA,"",NA,"","","",NA,NA,118,3
"","","","teacher",NA,"",NA,"","","",NA,NA,118,3
