"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","","30.0",28,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"ship","l","No","","",NA,NA,"","","",NA,NA,152,2
"hard","l","No","","",NA,NA,"","","",NA,NA,152,2
"ship","d","HIT","","",NA,NA,"","","",NA,NA,152,2
"board","l","No","","",NA,NA,"","","",NA,NA,152,2
"danger","l","No","","",NA,NA,"","","",NA,NA,152,2
"board","d","HIT","","",NA,NA,"","","",NA,NA,152,2
"flower","l","No","","",NA,NA,"","","",NA,NA,152,2
"hard","l","No","","",NA,NA,"","","",NA,NA,152,2
"flower","d","HIT","","",NA,NA,"","","",NA,NA,152,2
"computer","l","No","","",NA,NA,"","","",NA,NA,152,2
"museum","l","No","","",NA,NA,"","","",NA,NA,152,2
"computer","d","HIT","","",NA,NA,"","","",NA,NA,152,2
"art","l","No","","",NA,NA,"","","",NA,NA,152,2
"museum","l","No","","",NA,NA,"","","",NA,NA,152,2
"art","d","HIT","","",NA,NA,"","","",NA,NA,152,2
"danger","l","No","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"","","","","",NA,NA,"","","",NA,NA,152,2
"storm","l","No","","",NA,1,"[1.4149483000001055]","","",NA,NA,152,2
"glass","l","No","","",NA,1,"[0.7504589000018314]","","",NA,NA,152,2
"umbrella","l","No","","",NA,1,"[0.6004155000009632]","","",NA,NA,152,2
"glass","d","HIT","","",NA,1,"[0.8839004999972531]","","",NA,NA,152,2
"farm","l","No","","",NA,1,"[0.5669578999986697]","","",NA,NA,152,2
"air","l","No","","",NA,1,"[0.6168903000034334]","","",NA,NA,152,2
"farm","d","HIT","","",NA,1,"[0.550306900000578]","","",NA,NA,152,2
"white","l","No","","",NA,1,"[0.8004344000000856]","","",NA,NA,152,2
"rough","l","No","","",NA,1,"[0.6005043999975896]","","",NA,NA,152,2
"white","d","HIT","","",NA,1,"[0.4507456999999704]","","",NA,NA,152,2
"passage","l","No","","",NA,1,"[0.8839102999991155]","","",NA,NA,152,2
"education","l","No","","",NA,1,"[0.5837816999992356]","","",NA,NA,152,2
"passage","d","HIT","","",NA,1,"[0.9009103999997023]","","",NA,NA,152,2
"clock","l","No","","",NA,1,"[0.8677685000002384]","","",NA,NA,152,2
"rough","l","No","","",NA,1,"[1.0170139000001654]","","",NA,NA,152,2
"clock","d","HIT","","",NA,1,"[0.6839614999989863]","","",NA,NA,152,2
"trumpet","l","No","","",NA,1,"[0.7172718000001623]","","",NA,NA,152,2
"violin","l","No","","",NA,1,"[0.700359299997217]","","",NA,NA,152,2
"ankle","l","No","","",NA,1,"[0.5839780000023893]","","",NA,NA,152,2
"crisis","l","No","","",NA,1,"[0.5673704000000726]","","",NA,NA,152,2
"ankle","d","HIT","","",NA,0,"[1.0672161000002234]","","",NA,NA,152,2
"mistake","l","No","","",NA,1,"[0.6837949000000663]","","",NA,NA,152,2
"education","l","No","","",NA,1,"[1.233496599998034]","","",NA,NA,152,2
"mistake","d","HIT","","",NA,1,"[0.8173869999991439]","","",NA,NA,152,2
"trumpet","l","No","","",NA,1,"[0.9670122000025003]","","",NA,NA,152,2
"bar","l","No","","",NA,1,"[0.7169573999999557]","","",NA,NA,152,2
"violin","l","No","","",NA,1,"[0.5671097000013106]","","",NA,NA,152,2
"bar","d","HIT","","",NA,1,"[0.9172443999996176]","","",NA,NA,152,2
"tree","l","No","","",NA,1,"[0.8505043000004662]","","",NA,NA,152,2
"storm","l","No","","",NA,1,"[0.9340316999987408]","","",NA,NA,152,2
"tree","d","HIT","","",NA,1,"[0.6339930000031018]","","",NA,NA,152,2
"news","l","No","","",NA,1,"[0.6673635999977705]","","",NA,NA,152,2
"air","l","No","","",NA,1,"[0.7503962000009778, 1.9167796000001545]","","",NA,NA,152,2
"news","d","HIT","","",NA,0,"[0.9171695000004547]","","",NA,NA,152,2
"dirty","l","No","","",NA,1,"[0.6338754999997036]","","",NA,NA,152,2
"umbrella","l","No","","",NA,1,"[0.7337776000022131]","","",NA,NA,152,2
"dirty","d","HIT","","",NA,0,"[0.9341267999989213]","","",NA,NA,152,2
"manner","l","No","","",NA,1,"[0.6337466000004497]","","",NA,NA,152,2
"crisis","l","No","","",NA,1,"[0.7672013000010338]","","",NA,NA,152,2
"manner","d","HIT","","",NA,1,"[0.733936900000117]","","",NA,NA,152,2
"","","","detail","",NA,NA,"","","",NA,NA,152,2
"","","","circle","",NA,NA,"","","",NA,NA,152,2
"","","","village","",NA,NA,"","","",NA,NA,152,2
"","","","circle","",NA,NA,"","","",NA,NA,152,2
"","","","detail","",NA,NA,"","","",NA,NA,152,2
"","","","village","",NA,NA,"","","",NA,NA,152,2
"","","","","28.0",53,NA,"","","",NA,NA,152,2
"","","","","31.0",53,NA,"","","",NA,NA,152,2
"finger","l","No","","",NA,NA,"","[1.3805883999993966]","['l']",1,NA,152,2
"person","l","No","","",NA,NA,"","[0.7342857000003278]","['l']",1,NA,152,2
"barrel","l","No ","","",NA,NA,"","[0.7341739000003145]","['l']",1,NA,152,2
"person","d","HIT","","",NA,NA,"","[0.8505569000008109]","['d']",1,NA,152,2
"window","l","No","","",NA,NA,"","[0.6172087999984797]","['l']",1,NA,152,2
"capable","l","No ","","",NA,NA,"","[1.9836079999986396]","['l']",1,NA,152,2
"window","d","HIT","","",NA,NA,"","[0.7175454000025638]","['d']",1,NA,152,2
"answer","l","No ","","",NA,NA,"","[1.1674050999972678]","['l']",1,NA,152,2
"horse","l","No","","",NA,NA,"","[0.5675659000007727]","['l']",1,NA,152,2
"answer","d","HIT","","",NA,NA,"","[0.9337524000002304]","['d']",1,NA,152,2
"smooth","l","No ","","",NA,NA,"","[0.9003240000020014]","['l']",1,NA,152,2
"employment","l","No ","","",NA,NA,"","[0.7338584999997693]","['l']",1,NA,152,2
"smooth","d","HIT","","",NA,NA,"","[0.6672934999987774, 1.184149199998501]","['l', 'd']",0,NA,152,2
"detail","h","PM cue","","",NA,NA,"","[2.7836185000014666]","['h']",1,NA,152,2
"radio","l","No ","","",NA,NA,"","[0.8668975999971735]","['l']",1,NA,152,2
"finger","l","No ","","",NA,NA,"","[1.4671675999998115]","['l']",1,NA,152,2
"radio","d","HIT","","",NA,NA,"","[1.2837758000023314]","['d']",1,NA,152,2
"grass","l","No ","","",NA,NA,"","[0.8505731000004744]","['l']",1,NA,152,2
"broken","l","No ","","",NA,NA,"","[0.9002380000019912]","['l']",1,NA,152,2
"grass","d","HIT","","",NA,NA,"","[0.8670893000016804]","['d']",1,NA,152,2
"table","l","No ","","",NA,NA,"","[0.7004247000004398]","['l']",1,NA,152,2
"rifle","l","No ","","",NA,NA,"","[0.8003079000009166]","['l']",1,NA,152,2
"table","d","HIT","","",NA,NA,"","[0.6674548000009963]","['d']",1,NA,152,2
"alert","l","No ","","",NA,NA,"","[0.7006142999998701]","['l']",1,NA,152,2
"village","h","PM cue","","",NA,NA,"","[1.6337040999969759]","['h']",1,NA,152,2
"favour","l","No ","","",NA,NA,"","[0.6842848000014783]","['l']",1,NA,152,2
"barrel","l","No ","","",NA,NA,"","[1.450835299998289]","['l']",1,NA,152,2
"favour","d","HIT","","",NA,NA,"","[1.2505057999987912]","['d']",1,NA,152,2
"material","l","No ","","",NA,NA,"","[0.700352899999416]","['l']",1,NA,152,2
"employment","l","No ","","",NA,NA,"","[0.6839942000005976]","['l']",1,NA,152,2
"material","d","HIT","","",NA,NA,"","[1.2170628999992914]","['l']",0,NA,152,2
"hospital","l","No ","","",NA,NA,"","[0.6670025999992504]","['l']",1,NA,152,2
"colour","l","No","","",NA,NA,"","[0.8839851000011549]","['l']",1,NA,152,2
"hospital","d","HIT","","",NA,NA,"","[0.8502537999993365]","['d']",1,NA,152,2
"circle","h","PM cue","","",NA,NA,"","[1.5165280000001076]","['h']",1,NA,152,2
"confused","l","No ","","",NA,NA,"","[0.7004244999989169]","['l']",1,NA,152,2
"highway","l","No ","","",NA,NA,"","[0.6339896999998018]","['l']",1,NA,152,2
"confused","d","HIT","","",NA,NA,"","[0.8841228000019328]","['d']",1,NA,152,2
"iron","l","No ","","",NA,NA,"","[0.7339866000002075]","['l']",1,NA,152,2
"slow","l","No","","",NA,NA,"","[0.8835980000003474]","['l']",1,NA,152,2
"iron","d","HIT","","",NA,NA,"","[1.08376219999991]","['d']",1,NA,152,2
"dinner","l","No ","","",NA,NA,"","[0.8839563000001363]","['l']",1,NA,152,2
"seat","l","No ","","",NA,NA,"","[0.6673530000007304]","['l']",1,NA,152,2
"dinner","d","HIT","","",NA,NA,"","[0.7841679000011936]","['d']",1,NA,152,2
"month","l","No ","","",NA,NA,"","[0.6173041000001831]","['l']",1,NA,152,2
"capable","l","No ","","",NA,NA,"","[0.9669796999987739]","['l']",1,NA,152,2
"month","d","HIT","","",NA,NA,"","[0.7671531000014511]","['d']",1,NA,152,2
"engine","l","No ","","",NA,NA,"","[0.6172134000007645]","['l']",1,NA,152,2
"rifle","l","No ","","",NA,NA,"","[1.3670184000002337]","['l']",1,NA,152,2
"engine","d","HIT","","",NA,NA,"","[0.9338487000022724]","['d']",1,NA,152,2
"detail","h","PM cue","","",NA,NA,"","[1.233780200000183]","['l']",0,NA,152,2
"orchestra","l","No ","","",NA,NA,"","[0.7175738000005367]","['l']",1,NA,152,2
"highway","l","No ","","",NA,NA,"","[0.7507220000006782]","['l']",1,NA,152,2
"orchestra","d","HIT","","",NA,NA,"","[0.8839150000021618]","['d']",1,NA,152,2
"building","l","No ","","",NA,NA,"","[0.7004693999988376]","['l']",1,NA,152,2
"sugar","l","No","","",NA,NA,"","[0.6670157000007748]","['l']",1,NA,152,2
"building","d","HIT","","",NA,NA,"","[0.40085239999825717]","['d']",1,NA,152,2
"lake","l","No ","","",NA,NA,"","[0.9172488000003796]","['l']",1,NA,152,2
"seat","l","No ","","",NA,NA,"","[0.6670489999996789]","['l']",1,NA,152,2
"lake","d","HIT","","",NA,NA,"","[0.7504536000014923]","['d']",1,NA,152,2
"alert","l","No","","",NA,NA,"","[0.5842217999997956]","['l']",1,NA,152,2
"street","l","No","","",NA,NA,"","[0.7342039000031946]","['l']",1,NA,152,2
"circle","h","PM cue","","",NA,NA,"","[1.1838503000035416]","['h']",1,NA,152,2
"street","d","HIT","","",NA,NA,"","[0.6838014000022667]","['l']",0,NA,152,2
