"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",30,51,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"lion","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"lion","d","HIT","",NA,NA,NA,"","","",NA,NA,62,1
"black","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"black","d","HIT","",NA,NA,NA,"","","",NA,NA,62,1
"field","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"field","d","HIT","",NA,NA,NA,"","","",NA,NA,62,1
"excuse","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"excuse","d","HIT","",NA,NA,NA,"","","",NA,NA,62,1
"woman","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,62,1
"woman","d","HIT","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"","","","",NA,NA,NA,"","","",NA,NA,62,1
"plane","l","No","",NA,NA,1,"[1.482771099999809]","","",NA,NA,62,1
"body","l","No","",NA,NA,1,"[0.984173799999553]","","",NA,NA,62,1
"plane","d","HIT","",NA,NA,1,"[0.7672247999980755]","","",NA,NA,62,1
"alien","l","No","",NA,NA,1,"[1.0341007000024547]","","",NA,NA,62,1
"dark","l","No","",NA,NA,1,"[0.7174765000017942]","","",NA,NA,62,1
"alien","d","HIT","",NA,NA,1,"[0.800542699998914]","","",NA,NA,62,1
"clothing","l","No","",NA,NA,1,"[0.7172935999988113]","","",NA,NA,62,1
"serious","l","No","",NA,NA,1,"[0.700637399997504]","","",NA,NA,62,1
"clothing","d","HIT","",NA,NA,1,"[0.8001130999982706]","","",NA,NA,62,1
"stomach","l","No","",NA,NA,1,"[0.7839803000024403]","","",NA,NA,62,1
"modest","l","No","",NA,NA,1,"[0.7671171000001777]","","",NA,NA,62,1
"stomach","d","HIT","",NA,NA,1,"[0.7842693000020518]","","",NA,NA,62,1
"wonder","l","No","",NA,NA,1,"[0.6837419000003138]","","",NA,NA,62,1
"body","l","No","",NA,NA,1,"[0.7337641000012809]","","",NA,NA,62,1
"wonder","d","HIT","",NA,NA,1,"[0.9340325999983179]","","",NA,NA,62,1
"item","l","No","",NA,NA,1,"[0.5341525000003458]","","",NA,NA,62,1
"column","l","No","",NA,NA,1,"[0.6838793999995687]","","",NA,NA,62,1
"pencil","l","No","",NA,NA,1,"[0.8175099000000046]","","",NA,NA,62,1
"trust","l","No","",NA,NA,1,"[0.8675746000008075]","","",NA,NA,62,1
"item","l","No","",NA,NA,1,"[0.9670332999994571]","","",NA,NA,62,1
"trust","d","HIT","",NA,NA,1,"[0.9171167999993486]","","",NA,NA,62,1
"bathroom","l","No","",NA,NA,1,"[0.7838176000004751]","","",NA,NA,62,1
"honey","l","No","",NA,NA,1,"[0.6175060999994457]","","",NA,NA,62,1
"bathroom","d","HIT","",NA,NA,1,"[0.8006305999988399]","","",NA,NA,62,1
"modest","l","No","",NA,NA,1,"[0.7006949999995413]","","",NA,NA,62,1
"cottage","l","No","",NA,NA,1,"[0.5838158000005933]","","",NA,NA,62,1
"dark","l","No","",NA,NA,1,"[0.7011132999978145]","","",NA,NA,62,1
"cottage","d","HIT","",NA,NA,1,"[0.7509758000014699]","","",NA,NA,62,1
"legend","l","No","",NA,NA,1,"[1.0505651999992551]","","",NA,NA,62,1
"serious","l","No","",NA,NA,1,"[0.8171159999983502]","","",NA,NA,62,1
"legend","d","HIT","",NA,NA,1,"[0.9504072000017914]","","",NA,NA,62,1
"history","l","No","",NA,NA,1,"[0.7008453999987978]","","",NA,NA,62,1
"pencil","l","No","",NA,NA,1,"[0.7008197000031942]","","",NA,NA,62,1
"history","d","HIT","",NA,NA,1,"[0.684198800001468]","","",NA,NA,62,1
"metal","l","No","",NA,NA,1,"[0.7339299000013852]","","",NA,NA,62,1
"column","l","No","",NA,NA,1,"[0.5343663000021479]","","",NA,NA,62,1
"metal","d","HIT","",NA,NA,1,"[0.8337854000019433]","","",NA,NA,62,1
"foot","l","No","",NA,NA,1,"[1.1339044000014837]","","",NA,NA,62,1
"honey","l","No","",NA,NA,1,"[0.9338405999988026]","","",NA,NA,62,1
"foot","d","HIT","",NA,NA,1,"[0.8171470000015688]","","",NA,NA,62,1
"","","","bottle",NA,NA,NA,"","","",NA,NA,62,1
"","","","event",NA,NA,NA,"","","",NA,NA,62,1
"","","","writer",NA,NA,NA,"","","",NA,NA,62,1
"","","","bottle",NA,NA,NA,"","","",NA,NA,62,1
"","","","event",NA,NA,NA,"","","",NA,NA,62,1
"","","","writer",NA,NA,NA,"","","",NA,NA,62,1
"","","","",29,50,NA,"","","",NA,NA,62,1
"","","","",30,48,NA,"","","",NA,NA,62,1
"mail","l","No","",NA,NA,NA,"","[]","None",0,NA,62,1
"watch","l","No ","",NA,NA,NA,"","[0.15060169999924256, 0.9334280000002764]","['l', 'l']",1,NA,62,1
"mail","d","HIT","",NA,NA,NA,"","[0.7504074999997101]","['d']",1,NA,62,1
"anxious","l","No","",NA,NA,NA,"","[0.8671445999971183]","['l']",1,NA,62,1
"truck","l","No ","",NA,NA,NA,"","[1.1005937999980233]","['l']",1,NA,62,1
"anxious","d","HIT","",NA,NA,NA,"","[0.6503693999984534]","['d']",1,NA,62,1
"humble","l","No ","",NA,NA,NA,"","[1.0003821999998763]","['l']",1,NA,62,1
"paper","l","No","",NA,NA,NA,"","[0.9507456000028469]","['l']",1,NA,62,1
"humble","d","HIT","",NA,NA,NA,"","[0.8505655999979354, 2.2503002999983437]","['l', 'd']",0,NA,62,1
"bottle","h","PM cue","",NA,NA,NA,"","[1.8336409000003187]","['h']",1,NA,62,1
"vehicle","l","No ","",NA,NA,NA,"","[1.3337761000002502]","['l']",1,NA,62,1
"clouds","l","No ","",NA,NA,NA,"","[1.066933699999936]","['l']",1,NA,62,1
"vehicle","d","HIT","",NA,NA,NA,"","[1.1175413000019034]","['d']",1,NA,62,1
"rain","l","No ","",NA,NA,NA,"","[0.6674818000028608]","['l']",1,NA,62,1
"opinion","l","No ","",NA,NA,NA,"","[0.7005177999999432]","['l']",1,NA,62,1
"rain","d","HIT","",NA,NA,NA,"","[1.2506923000000825]","['d']",1,NA,62,1
"quiet","l","No ","",NA,NA,NA,"","[0.8671628999982204]","['l']",1,NA,62,1
"market","l","No ","",NA,NA,NA,"","[0.5837776999978814]","['l']",1,NA,62,1
"quiet","d","HIT","",NA,NA,NA,"","[0.767361099999107]","['d']",1,NA,62,1
"avenue","l","No ","",NA,NA,NA,"","[0.6834777000003669]","['l']",1,NA,62,1
"writer","h","PM cue","",NA,NA,NA,"","[0.7337685999991663]","['l']",0,NA,62,1
"knife","l","No","",NA,NA,NA,"","[0.617041599998629]","['l']",1,NA,62,1
"paper","l","No ","",NA,NA,NA,"","[0.8171274000014819]","['l']",1,NA,62,1
"knife","d","HIT","",NA,NA,NA,"","[1.4829234999997425]","['d']",1,NA,62,1
"taste","l","No ","",NA,NA,NA,"","[0.9339400999997451]","['l']",1,NA,62,1
"quality","l","No ","",NA,NA,NA,"","[0.683797699999559]","['l']",1,NA,62,1
"industry","l","No ","",NA,NA,NA,"","[0.7670814000011887]","['l']",1,NA,62,1
"quality","d","HIT","",NA,NA,NA,"","[0.7844088999991072]","['d']",1,NA,62,1
"corner","l","No ","",NA,NA,NA,"","[1.0334579000009398]","['l']",1,NA,62,1
"letter","l","No ","",NA,NA,NA,"","[1.833606400003191]","['h']",0,NA,62,1
"corner","d","HIT","",NA,NA,NA,"","[1.4838290000006964]","['d']",1,NA,62,1
"poetry","l","No ","",NA,NA,NA,"","[0.9671917999985453]","['l']",1,NA,62,1
"event","h","PM cue","",NA,NA,NA,"","[0.6841877999977442, 1.8841780999973707]","['l', 'h']",0,NA,62,1
"poetry","d","HIT","",NA,NA,NA,"","[1.4338669999997364]","['d']",1,NA,62,1
"vision","l","No ","",NA,NA,NA,"","[0.6671043999995163]","['l']",1,NA,62,1
"unit","l","No","",NA,NA,NA,"","[0.833729800000583]","['l']",1,NA,62,1
"vision","d","HIT","",NA,NA,NA,"","[0.6842675999978383]","['d']",1,NA,62,1
"blind","l","No ","",NA,NA,NA,"","[0.683690599998954]","['l']",1,NA,62,1
"watch","l","No ","",NA,NA,NA,"","[0.6669142999999167]","['l']",1,NA,62,1
"blind","d","HIT","",NA,NA,NA,"","[0.7166897999995854]","['d']",1,NA,62,1
"truck","l","No ","",NA,NA,NA,"","[0.7336820999989868]","['l']",1,NA,62,1
"snake","l","No ","",NA,NA,NA,"","[0.5841223999996146]","['l']",1,NA,62,1
"writer","h","PM cue","",NA,NA,NA,"","[0.8176363999991736, 2.6336851000014576]","['l', 'h']",0,NA,62,1
"snake","d","HIT","",NA,NA,NA,"","[1.1669648999995843]","['d']",1,NA,62,1
"opinion","l","No ","",NA,NA,NA,"","[1.000432799999544]","['l']",1,NA,62,1
"advantage","l","No ","",NA,NA,NA,"","[0.8341015000005427]","['l']",1,NA,62,1
"garden","l","No ","",NA,NA,NA,"","[0.9673750999972981]","['l']",1,NA,62,1
"advantage","d","HIT","",NA,NA,NA,"","[0.7674024999978428]","['d']",1,NA,62,1
"dream","l","No ","",NA,NA,NA,"","[1.017324100001133]","['l']",1,NA,62,1
"industry","l","No ","",NA,NA,NA,"","[1.0167829999991227]","['l']",1,NA,62,1
"dream","d","HIT","",NA,NA,NA,"","[0.800856300000305]","['d']",1,NA,62,1
"yellow","l","No ","",NA,NA,NA,"","[0.7669103999978688]","['l']",1,NA,62,1
"avenue","l","No ","",NA,NA,NA,"","[0.7841780999988259]","['l']",1,NA,62,1
"yellow","d","HIT","",NA,NA,NA,"","[0.8507685999975365]","['d']",1,NA,62,1
"bottle","h","PM cue","",NA,NA,NA,"","[1.3171703000007255, 2.1005268999979307]","['h', 'l']",1,NA,62,1
"square","l","No ","",NA,NA,NA,"","[1.2505920000003243]","['l']",1,NA,62,1
"market","l","No ","",NA,NA,NA,"","[1.2004156000002695]","['l']",1,NA,62,1
"square","d","HIT","",NA,NA,NA,"","[1.4837799000015366]","['d']",1,NA,62,1
"adult","l","No ","",NA,NA,NA,"","[0.700308400002541]","['l']",1,NA,62,1
"unit","l","No","",NA,NA,NA,"","[0.7338125000023865]","['l']",1,NA,62,1
"adult","d","HIT","",NA,NA,NA,"","[0.7004046000001836]","['d']",1,NA,62,1
"famous","l","No ","",NA,NA,NA,"","[0.5510185999992245]","['l']",1,NA,62,1
"clouds","l","No ","",NA,NA,NA,"","[0.5338943999995536]","['l']",1,NA,62,1
"famous","d","HIT","",NA,NA,NA,"","[0.7335959999982151]","['d']",1,NA,62,1
"natural","l","No","",NA,NA,NA,"","[0.6671440999998595]","['l']",1,NA,62,1
"safe","l","No","",NA,NA,NA,"","[0.5508791000029305]","['l']",1,NA,62,1
"natural","d","HIT","",NA,NA,NA,"","[0.7671467000000121]","['d']",1,NA,62,1
"event","h","PM cue","",NA,NA,NA,"","[1.51726790000248]","['h']",1,NA,62,1
