"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",74,34,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"voyage","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"voyage","d","HIT","",NA,NA,NA,"","","",NA,NA,1,3
"book","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"book","d","HIT","",NA,NA,NA,"","","",NA,NA,1,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"fork","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"fork","d","HIT","",NA,NA,NA,"","","",NA,NA,1,3
"memory","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"memory","d","HIT","",NA,NA,NA,"","","",NA,NA,1,3
"blond","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,1,3
"blond","d","HIT","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"","","","",NA,NA,NA,"","","",NA,NA,1,3
"elbow","l","No","",NA,NA,1,"[1.0805356000782922]","","",NA,NA,1,3
"ambition","l","No","",NA,NA,1,"[0.900563900009729]","","",NA,NA,1,3
"elbow","d","HIT","",NA,NA,1,"[0.6674392999848351]","","",NA,NA,1,3
"salad","l","No","",NA,NA,1,"[0.8671155000338331]","","",NA,NA,1,3
"door","l","No","",NA,NA,1,"[0.7337572999531403]","","",NA,NA,1,3
"salad","d","HIT","",NA,NA,1,"[0.6342686000280082]","","",NA,NA,1,3
"tool","l","No","",NA,NA,1,"[0.5672845999943092]","","",NA,NA,1,3
"health","l","No","",NA,NA,1,"[0.9003028000006452]","","",NA,NA,1,3
"ambition","l","No","",NA,NA,1,"[1.1005558000179008]","","",NA,NA,1,3
"health","d","HIT","",NA,NA,1,"[1.0501038000220433]","","",NA,NA,1,3
"vest","l","No","",NA,NA,1,"[0.6172844999236986]","","",NA,NA,1,3
"ugly","l","No","",NA,NA,1,"[0.6339656999334693]","","",NA,NA,1,3
"vest","d","HIT","",NA,NA,1,"[1.0173337999731302]","","",NA,NA,1,3
"face","l","No","",NA,NA,1,"[0.6508754000533372]","","",NA,NA,1,3
"rock","l","No","",NA,NA,1,"[0.7175553999841213]","","",NA,NA,1,3
"face","d","HIT","",NA,NA,0,"[0.800587399979122]","","",NA,NA,1,3
"bowl","l","No","",NA,NA,1,"[0.9839534999337047]","","",NA,NA,1,3
