"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",11,74,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"ship","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"ship","d","HIT","",NA,NA,NA,"","","",NA,NA,136,2
"board","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"board","d","HIT","",NA,NA,NA,"","","",NA,NA,136,2
"flower","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"hard","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"flower","d","HIT","",NA,NA,NA,"","","",NA,NA,136,2
"computer","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"computer","d","HIT","",NA,NA,NA,"","","",NA,NA,136,2
"art","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"museum","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"art","d","HIT","",NA,NA,NA,"","","",NA,NA,136,2
"danger","l","No","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"","","","",NA,NA,NA,"","","",NA,NA,136,2
"storm","l","No","",NA,NA,0,"","","",NA,NA,136,2
"glass","l","No","",NA,NA,0,"","","",NA,NA,136,2
"umbrella","l","No","",NA,NA,1,"[1.3501637000008486]","","",NA,NA,136,2
"glass","d","HIT","",NA,NA,1,"[1.0503545999818016]","","",NA,NA,136,2
"farm","l","No","",NA,NA,1,"[0.7004208999860566]","","",NA,NA,136,2
"air","l","No","",NA,NA,1,"[0.6666354000044521, 0.8833328000037]","","",NA,NA,136,2
"farm","d","HIT","",NA,NA,1,"[0.48405309999361634]","","",NA,NA,136,2
"white","l","No","",NA,NA,1,"[0.7500437000126112]","","",NA,NA,136,2
"rough","l","No","",NA,NA,1,"[1.1840099999972153]","","",NA,NA,136,2
"white","d","HIT","",NA,NA,1,"[0.5501828000124078]","","",NA,NA,136,2
"passage","l","No","",NA,NA,1,"[0.8672268000082113]","","",NA,NA,136,2
"education","l","No","",NA,NA,1,"[0.7341441999888048]","","",NA,NA,136,2
"passage","d","HIT","",NA,NA,1,"[0.4508674999815412]","","",NA,NA,136,2
"clock","l","No","",NA,NA,1,"[0.800592699990375]","","",NA,NA,136,2
"rough","l","No","",NA,NA,1,"[1.0338159000093583]","","",NA,NA,136,2
"clock","d","HIT","",NA,NA,1,"[0.8004919999802951]","","",NA,NA,136,2
"trumpet","l","No","",NA,NA,1,"[0.6840049000165891]","","",NA,NA,136,2
"violin","l","No","",NA,NA,1,"[0.8840069999860134]","","",NA,NA,136,2
"ankle","l","No","",NA,NA,1,"[0.9165351999981795]","","",NA,NA,136,2
"crisis","l","No","",NA,NA,1,"[1.1003458000195678]","","",NA,NA,136,2
"ankle","d","HIT","",NA,NA,1,"[0.5839131999819074]","","",NA,NA,136,2
"mistake","l","No","",NA,NA,1,"[0.16711479998775758]","","",NA,NA,136,2
"education","l","No","",NA,NA,1,"[1.1004733000008855]","","",NA,NA,136,2
"mistake","d","HIT","",NA,NA,1,"[0.9505415000021458]","","",NA,NA,136,2
"trumpet","l","No","",NA,NA,1,"[0.5671053999976721]","","",NA,NA,136,2
"bar","l","No","",NA,NA,1,"[0.8840296000125818]","","",NA,NA,136,2
"violin","l","No","",NA,NA,1,"[1.050768999994034]","","",NA,NA,136,2
"bar","d","HIT","",NA,NA,1,"[0.5004266999894753]","","",NA,NA,136,2
"tree","l","No","",NA,NA,1,"[0.8004361999919638]","","",NA,NA,136,2
"storm","l","No","",NA,NA,1,"[1.0670586999913212]","","",NA,NA,136,2
"tree","d","HIT","",NA,NA,1,"[0.6339536999876145]","","",NA,NA,136,2
"news","l","No","",NA,NA,1,"[0.7337910000060219]","","",NA,NA,136,2
"air","l","No","",NA,NA,1,"[0.9336600999813527]","","",NA,NA,136,2
"news","d","HIT","",NA,NA,1,"[0.5172103999939281]","","",NA,NA,136,2
"dirty","l","No","",NA,NA,1,"[0.6672431000042707]","","",NA,NA,136,2
"umbrella","l","No","",NA,NA,1,"[1.1337265000038315]","","",NA,NA,136,2
"dirty","d","HIT","",NA,NA,0,"[2.0671087999944575]","","",NA,NA,136,2
"manner","l","No","",NA,NA,1,"[0.9839609999908134]","","",NA,NA,136,2
"crisis","l","No","",NA,NA,1,"[1.0836486000043806]","","",NA,NA,136,2
"manner","d","HIT","",NA,NA,1,"[0.9669990999973379]","","",NA,NA,136,2
"","","","village",NA,NA,NA,"","","",NA,NA,136,2
"","","","detail",NA,NA,NA,"","","",NA,NA,136,2
"","","","circle",NA,NA,NA,"","","",NA,NA,136,2
"","","","circle",NA,NA,NA,"","","",NA,NA,136,2
"","","","detail",NA,NA,NA,"","","",NA,NA,136,2
"","","","village",NA,NA,NA,"","","",NA,NA,136,2
"","","","",49,71,NA,"","","",NA,NA,136,2
"","","","",31,70,NA,"","","",NA,NA,136,2
"finger","l","No","",NA,NA,NA,"","[]","None",0,NA,136,2
"person","l","No","",NA,NA,NA,"","[0.8172389999963343]","['l']",1,NA,136,2
"barrel","l","No ","",NA,NA,NA,"","[0.7503555000002962]","['l']",1,NA,136,2
"person","d","HIT","",NA,NA,NA,"","[0.9843993999820668]","['d']",1,NA,136,2
"window","l","No","",NA,NA,NA,"","[0.9335475999978371]","['l']",1,NA,136,2
"capable","l","No ","",NA,NA,NA,"","[0.8338794000155758]","['l']",1,NA,136,2
"window","d","HIT","",NA,NA,NA,"","[0.6338569999788888]","['d']",1,NA,136,2
"answer","l","No ","",NA,NA,NA,"","[0.6341612999967765]","['l']",1,NA,136,2
"horse","l","No","",NA,NA,NA,"","[1.2337899999984074]","['l']",1,NA,136,2
"answer","d","HIT","",NA,NA,NA,"","[0.5673290999839082]","['d']",1,NA,136,2
"smooth","l","No ","",NA,NA,NA,"","[0.8843229999765754]","['l']",1,NA,136,2
"employment","l","No ","",NA,NA,NA,"","[0.9174182999995537]","['l']",1,NA,136,2
"smooth","d","HIT","",NA,NA,NA,"","[1.0672479000058956]","['d']",1,NA,136,2
"detail","h","PM cue","",NA,NA,NA,"","[1.2829600000113714]","['l']",0,NA,136,2
"radio","l","No ","",NA,NA,NA,"","[1.3168941000185441]","['l']",1,NA,136,2
"finger","l","No ","",NA,NA,NA,"","[1.3503127000003587]","['l']",1,NA,136,2
"radio","d","HIT","",NA,NA,NA,"","[0.8671953000011854]","['d']",1,NA,136,2
"grass","l","No ","",NA,NA,NA,"","[0.8503500999941025]","['l']",1,NA,136,2
"broken","l","No ","",NA,NA,NA,"","[0.933844199986197]","['l']",1,NA,136,2
"grass","d","HIT","",NA,NA,NA,"","[0.9000869000155944]","['d']",1,NA,136,2
"table","l","No ","",NA,NA,NA,"","[0.9170414000109304]","['l']",1,NA,136,2
"rifle","l","No ","",NA,NA,NA,"","[1.3839559000043664]","['l']",1,NA,136,2
"table","d","HIT","",NA,NA,NA,"","[1.0003087000222877]","['d']",1,NA,136,2
"alert","l","No ","",NA,NA,NA,"","[0.9006825000105891]","['l']",1,NA,136,2
"village","h","PM cue","",NA,NA,NA,"","[0.9003999999840744]","['l']",0,NA,136,2
"favour","l","No ","",NA,NA,NA,"","[0.8171145999804139]","['l']",1,NA,136,2
"barrel","l","No ","",NA,NA,NA,"","[0.8170599000004586]","['l']",1,NA,136,2
"favour","d","HIT","",NA,NA,NA,"","[1.6006857000174932]","['d']",1,NA,136,2
"material","l","No ","",NA,NA,NA,"","[1.7503528000088409]","['l']",1,NA,136,2
