"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"serious","l","No","",NA,NA,1,"",NA,NA,100,1
"legend","d","HIT","",NA,NA,1,"",NA,NA,100,1
"history","l","No","",NA,NA,1,"",NA,NA,100,1
"pencil","l","No","",NA,NA,0,"",NA,NA,100,1
"history","d","HIT","",NA,NA,0,"",NA,NA,100,1
"metal","l","No","",NA,NA,1,"",NA,NA,100,1
"column","l","No","",NA,NA,1,"",NA,NA,100,1
"metal","d","HIT","",NA,NA,1,"",NA,NA,100,1
"foot","l","No","",NA,NA,1,"",NA,NA,100,1
"honey","l","No","",NA,NA,0,"",NA,NA,100,1
"foot","d","HIT","",NA,NA,1,"",NA,NA,100,1
"","","","bottle",NA,NA,NA,"",NA,NA,100,1
"","","","event",NA,NA,NA,"",NA,NA,100,1
"","","","writer",NA,NA,NA,"",NA,NA,100,1
"","","","bottle",NA,NA,NA,"",NA,NA,100,1
"","","","writer",NA,NA,NA,"",NA,NA,100,1
"","","","event",NA,NA,NA,"",NA,NA,100,1
"","","","",30,50,NA,"",NA,NA,100,1
"","","","",29,50,NA,"",NA,NA,100,1
"mail","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"watch","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"mail","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"anxious","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"truck","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"anxious","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"humble","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"paper","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"humble","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"bottle","h","PM cue","",NA,NA,NA,"['l']",0,NA,100,1
"vehicle","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"clouds","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"vehicle","d","HIT","",NA,NA,NA,"['h']",0,NA,100,1
"rain","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"opinion","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"rain","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"quiet","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"market","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"quiet","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"avenue","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"writer","h","PM cue","",NA,NA,NA,"['h']",1,NA,100,1
"knife","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"paper","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"knife","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"taste","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"quality","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"industry","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"quality","d","HIT","",NA,NA,NA,"['l', 'd']",0,NA,100,1
"corner","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"letter","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"corner","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"poetry","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"event","h","PM cue","",NA,NA,NA,"['h']",1,NA,100,1
"poetry","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"vision","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"unit","l","No","",NA,NA,NA,"['l']",1,NA,100,1
"vision","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"blind","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"watch","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
"blind","d","HIT","",NA,NA,NA,"['d']",1,NA,100,1
"truck","l","No ","",NA,NA,NA,"['d', 'l']",0,NA,100,1
"snake","l","No ","",NA,NA,NA,"['l']",1,NA,100,1
