"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",49,70,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"lion","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"lion","d","HIT","",NA,NA,NA,"","","",NA,NA,59,1
"black","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"black","d","HIT","",NA,NA,NA,"","","",NA,NA,59,1
"field","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"arm","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"field","d","HIT","",NA,NA,NA,"","","",NA,NA,59,1
"excuse","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"statue","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"excuse","d","HIT","",NA,NA,NA,"","","",NA,NA,59,1
"woman","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"city","l","No","",NA,NA,NA,"","","",NA,NA,59,1
"woman","d","HIT","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"","","","",NA,NA,NA,"","","",NA,NA,59,1
"plane","l","No","",NA,NA,1,"[1.798521400000027]","","",NA,NA,59,1
"body","l","No","",NA,NA,1,"[2.867046700001083]","","",NA,NA,59,1
"plane","d","HIT","",NA,NA,1,"[1.4171921999986807]","","",NA,NA,59,1
"alien","l","No","",NA,NA,1,"[1.700383100000181]","","",NA,NA,59,1
"dark","l","No","",NA,NA,0,"[1.9837838999992528]","","",NA,NA,59,1
"alien","d","HIT","",NA,NA,0,"[1.3670192999998108]","","",NA,NA,59,1
"clothing","l","No","",NA,NA,0,"[0.9838923999996041]","","",NA,NA,59,1
"serious","l","No","",NA,NA,1,"[1.6340005999991263]","","",NA,NA,59,1
"clothing","d","HIT","",NA,NA,1,"[1.2674074999995355]","","",NA,NA,59,1
"stomach","l","No","",NA,NA,1,"[1.1673942000015813]","","",NA,NA,59,1
"modest","l","No","",NA,NA,0,"[1.983629900001688]","","",NA,NA,59,1
"stomach","d","HIT","",NA,NA,1,"[2.0003976999978477]","","",NA,NA,59,1
"wonder","l","No","",NA,NA,1,"[2.3001192000010633]","","",NA,NA,59,1
"body","l","No","",NA,NA,0,"[1.700642700001481]","","",NA,NA,59,1
"wonder","d","HIT","",NA,NA,0,"[2.2336173000003328]","","",NA,NA,59,1
"item","l","No","",NA,NA,0,"[1.3999427000017022]","","",NA,NA,59,1
"column","l","No","",NA,NA,1,"[1.7002050000010058]","","",NA,NA,59,1
"pencil","l","No","",NA,NA,0,"[2.000279399999272]","","",NA,NA,59,1
