"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",39,100,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"voyage","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"voyage","d","HIT","",NA,NA,NA,"","","",NA,NA,61,3
"book","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"book","d","HIT","",NA,NA,NA,"","","",NA,NA,61,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"fork","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"fork","d","HIT","",NA,NA,NA,"","","",NA,NA,61,3
"memory","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"memory","d","HIT","",NA,NA,NA,"","","",NA,NA,61,3
"blond","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,61,3
"blond","d","HIT","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"","","","",NA,NA,NA,"","","",NA,NA,61,3
"elbow","l","No","",NA,NA,1,"[1.148208099999465]","","",NA,NA,61,3
"ambition","l","No","",NA,NA,1,"[0.5676137000009476]","","",NA,NA,61,3
"elbow","d","HIT","",NA,NA,1,"[0.6003831000016362]","","",NA,NA,61,3
"salad","l","No","",NA,NA,1,"[0.48411140000098385]","","",NA,NA,61,3
"door","l","No","",NA,NA,1,"[0.6339474999986123]","","",NA,NA,61,3
"salad","d","HIT","",NA,NA,1,"[0.5671351999990293]","","",NA,NA,61,3
"tool","l","No","",NA,NA,1,"[0.5172091999993427]","","",NA,NA,61,3
"health","l","No","",NA,NA,1,"[0.48381099999824073]","","",NA,NA,61,3
"ambition","l","No","",NA,NA,1,"[0.583524400000897]","","",NA,NA,61,3
"health","d","HIT","",NA,NA,1,"[0.5838751999981469]","","",NA,NA,61,3
"vest","l","No","",NA,NA,1,"[0.5675422999993316]","","",NA,NA,61,3
"ugly","l","No","",NA,NA,1,"[0.5174387000006391]","","",NA,NA,61,3
"vest","d","HIT","",NA,NA,1,"[0.6840694999991683]","","",NA,NA,61,3
"face","l","No","",NA,NA,1,"[0.6003854000009596]","","",NA,NA,61,3
