"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","","None",46,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"ship","l","No","","",NA,NA,"","","",NA,NA,141,2
"hard","l","No","","",NA,NA,"","","",NA,NA,141,2
"ship","d","HIT","","",NA,NA,"","","",NA,NA,141,2
"board","l","No","","",NA,NA,"","","",NA,NA,141,2
"danger","l","No","","",NA,NA,"","","",NA,NA,141,2
"board","d","HIT","","",NA,NA,"","","",NA,NA,141,2
"flower","l","No","","",NA,NA,"","","",NA,NA,141,2
"hard","l","No","","",NA,NA,"","","",NA,NA,141,2
"flower","d","HIT","","",NA,NA,"","","",NA,NA,141,2
"computer","l","No","","",NA,NA,"","","",NA,NA,141,2
"museum","l","No","","",NA,NA,"","","",NA,NA,141,2
"computer","d","HIT","","",NA,NA,"","","",NA,NA,141,2
"art","l","No","","",NA,NA,"","","",NA,NA,141,2
"museum","l","No","","",NA,NA,"","","",NA,NA,141,2
"art","d","HIT","","",NA,NA,"","","",NA,NA,141,2
"danger","l","No","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"","","","","",NA,NA,"","","",NA,NA,141,2
"storm","l","No","","",NA,1,"[1.6153171999612823]","","",NA,NA,141,2
"glass","l","No","","",NA,1,"[0.7168424000265077]","","",NA,NA,141,2
"umbrella","l","No","","",NA,1,"[0.6338727999245748]","","",NA,NA,141,2
"glass","d","HIT","","",NA,0,"[1.1341285000089556]","","",NA,NA,141,2
"farm","l","No","","",NA,1,"[0.7340090000070632]","","",NA,NA,141,2
"air","l","No","","",NA,1,"[0.6005870999069884]","","",NA,NA,141,2
"farm","d","HIT","","",NA,1,"[0.8672915999777615]","","",NA,NA,141,2
"white","l","No","","",NA,1,"[0.6670107999816537]","","",NA,NA,141,2
