"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",29,65,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"voyage","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"tower","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"voyage","d","HIT","",NA,NA,NA,"","","",NA,NA,52,1
"book","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"tower","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"book","d","HIT","",NA,NA,NA,"","","",NA,NA,52,1
"dress","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"fork","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"crime","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"fork","d","HIT","",NA,NA,NA,"","","",NA,NA,52,1
"memory","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"dress","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"memory","d","HIT","",NA,NA,NA,"","","",NA,NA,52,1
"blond","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"crime","l","No","",NA,NA,NA,"","","",NA,NA,52,1
"blond","d","HIT","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"","","","",NA,NA,NA,"","","",NA,NA,52,1
"elbow","l","No","",NA,NA,1,"[1.1479563000029884]","","",NA,NA,52,1
"ambition","l","No","",NA,NA,1,"[1.1503472000003967]","","",NA,NA,52,1
"elbow","d","HIT","",NA,NA,1,"[0.6509575999989465]","","",NA,NA,52,1
"salad","l","No","",NA,NA,1,"[1.1836414999997942]","","",NA,NA,52,1
"door","l","No","",NA,NA,1,"[1.1169938999992155]","","",NA,NA,52,1
"salad","d","HIT","",NA,NA,1,"[1.0673873000014282]","","",NA,NA,52,1
