"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",1,100,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"voyage","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"voyage","d","HIT","",NA,NA,NA,"","","",NA,NA,153,3
"book","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"tower","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"book","d","HIT","",NA,NA,NA,"","","",NA,NA,153,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"fork","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"fork","d","HIT","",NA,NA,NA,"","","",NA,NA,153,3
"memory","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"dress","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"memory","d","HIT","",NA,NA,NA,"","","",NA,NA,153,3
"blond","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"crime","l","No","",NA,NA,NA,"","","",NA,NA,153,3
"blond","d","HIT","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"","","","",NA,NA,NA,"","","",NA,NA,153,3
"elbow","l","No","",NA,NA,1,"[0.8478810999995403]","","",NA,NA,153,3
"ambition","l","No","",NA,NA,1,"[0.8502599000003102]","","",NA,NA,153,3
"elbow","d","HIT","",NA,NA,1,"[0.7837645999998131]","","",NA,NA,153,3
"salad","l","No","",NA,NA,1,"[0.733777999999802]","","",NA,NA,153,3
"door","l","No","",NA,NA,1,"[1.0670435000001817]","","",NA,NA,153,3
