"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",28,"None",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"voyage","l","No","",NA,"",NA,"","","",NA,NA,149,3
"tower","l","No","",NA,"",NA,"","","",NA,NA,149,3
"voyage","d","HIT","",NA,"",NA,"","","",NA,NA,149,3
"book","l","No","",NA,"",NA,"","","",NA,NA,149,3
"tower","l","No","",NA,"",NA,"","","",NA,NA,149,3
"book","d","HIT","",NA,"",NA,"","","",NA,NA,149,3
"dress","l","No","",NA,"",NA,"","","",NA,NA,149,3
"fork","l","No","",NA,"",NA,"","","",NA,NA,149,3
"crime","l","No","",NA,"",NA,"","","",NA,NA,149,3
"fork","d","HIT","",NA,"",NA,"","","",NA,NA,149,3
"memory","l","No","",NA,"",NA,"","","",NA,NA,149,3
"dress","l","No","",NA,"",NA,"","","",NA,NA,149,3
"memory","d","HIT","",NA,"",NA,"","","",NA,NA,149,3
"blond","l","No","",NA,"",NA,"","","",NA,NA,149,3
"crime","l","No","",NA,"",NA,"","","",NA,NA,149,3
"blond","d","HIT","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"","","","",NA,"",NA,"","","",NA,NA,149,3
"elbow","l","No","",NA,"",1,"[0.8820223999791779]","","",NA,NA,149,3
"ambition","l","No","",NA,"",1,"[0.7841169000021182]","","",NA,NA,149,3
"elbow","d","HIT","",NA,"",1,"[2.400362499989569]","","",NA,NA,149,3
"salad","l","No","",NA,"",1,"[0.8672372000291944]","","",NA,NA,149,3
"door","l","No","",NA,"",1,"[0.6506258000154048]","","",NA,NA,149,3
"salad","d","HIT","",NA,"",1,"[1.000598699960392]","","",NA,NA,149,3
"tool","l","No","",NA,"",1,"[0.6506677999859676]","","",NA,NA,149,3
"health","l","No","",NA,"",1,"[0.7170763000031002]","","",NA,NA,149,3
"ambition","l","No","",NA,"",0,"[2.117027300002519]","","",NA,NA,149,3
"health","d","HIT","",NA,"",1,"[0.8673245999962091]","","",NA,NA,149,3
"vest","l","No","",NA,"",1,"[0.7507345000049099]","","",NA,NA,149,3
"ugly","l","No","",NA,"",1,"[0.6008285999996588]","","",NA,NA,149,3
"vest","d","HIT","",NA,"",1,"[0.8173576999688521]","","",NA,NA,149,3
"face","l","No","",NA,"",1,"[1.0679331999854185]","","",NA,NA,149,3
"rock","l","No","",NA,"",1,"[0.733887100010179]","","",NA,NA,149,3
"face","d","HIT","",NA,"",1,"[0.7171032999758609]","","",NA,NA,149,3
"bowl","l","No","",NA,"",1,"[0.7005701999878511]","","",NA,NA,149,3
"key","l","No","",NA,"",1,"[0.6003732000244781]","","",NA,NA,149,3
"bowl","d","HIT","",NA,"",1,"[0.6339220000081696]","","",NA,NA,149,3
"moment","l","No","",NA,"",1,"[1.0171149999951012]","","",NA,NA,149,3
"useful","l","No","",NA,"",1,"[0.8838008000166155]","","",NA,NA,149,3
"moment","d","HIT","",NA,"",1,"[0.5504968999885023]","","",NA,NA,149,3
"water","l","No","",NA,"",1,"[0.7504661999992095]","","",NA,NA,149,3
"coast","l","No","",NA,"",1,"[0.5840471999836154]","","",NA,NA,149,3
"key","l","No","",NA,"",0,"[1.0668626999831758]","","",NA,NA,149,3
