"word","corrAnsw","trial_type","cues","slider_mood.response","slider_arousal.response","key_resp_ongoing.corr","key_resp_ongoing.rt","key_resp_PM.rt","key_resp_PM.keys","key_resp_PM.corr","key_resp_recognition.corr","participant","session"
"","","","",13,80,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"voyage","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"tower","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"voyage","d","HIT","",NA,NA,NA,"","","",NA,NA,51,1
"book","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"tower","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"book","d","HIT","",NA,NA,NA,"","","",NA,NA,51,1
"dress","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"fork","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"crime","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"fork","d","HIT","",NA,NA,NA,"","","",NA,NA,51,1
"memory","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"dress","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"memory","d","HIT","",NA,NA,NA,"","","",NA,NA,51,1
"blond","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"crime","l","No","",NA,NA,NA,"","","",NA,NA,51,1
"blond","d","HIT","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"","","","",NA,NA,NA,"","","",NA,NA,51,1
"elbow","l","No","",NA,NA,1,"[1.0151345000003857]","","",NA,NA,51,1
"ambition","l","No","",NA,NA,1,"[0.4169916999999259]","","",NA,NA,51,1
"elbow","d","HIT","",NA,NA,1,"[0.5836987000002409]","","",NA,NA,51,1
"salad","l","No","",NA,NA,1,"[0.3675170000005892]","","",NA,NA,51,1
"door","l","No","",NA,NA,1,"[0.48394489999918733]","","",NA,NA,51,1
"salad","d","HIT","",NA,NA,1,"[0.8337009999995644]","","",NA,NA,51,1
"tool","l","No","",NA,NA,1,"[0.6170568999996249]","","",NA,NA,51,1
"health","l","No","",NA,NA,1,"[0.5670440000003509]","","",NA,NA,51,1
"ambition","l","No","",NA,NA,1,"[0.667094200000065]","","",NA,NA,51,1
"health","d","HIT","",NA,NA,1,"[0.467102700000396]","","",NA,NA,51,1
"vest","l","No","",NA,NA,1,"[0.5671922000001359]","","",NA,NA,51,1
"ugly","l","No","",NA,NA,1,"[0.6175278000000617]","","",NA,NA,51,1
"vest","d","HIT","",NA,NA,1,"[0.6006839000001492]","","",NA,NA,51,1
"face","l","No","",NA,NA,1,"[0.5004788000005647]","","",NA,NA,51,1
"rock","l","No","",NA,NA,1,"[0.7171587000002546]","","",NA,NA,51,1
"face","d","HIT","",NA,NA,1,"[0.6171628000001874]","","",NA,NA,51,1
"bowl","l","No","",NA,NA,1,"[0.5837118000008559]","","",NA,NA,51,1
"key","l","No","",NA,NA,1,"[1.333648699999685]","","",NA,NA,51,1
"bowl","d","HIT","",NA,NA,1,"[0.40027980000013486]","","",NA,NA,51,1
"moment","l","No","",NA,NA,1,"[0.46690729999954783]","","",NA,NA,51,1
"useful","l","No","",NA,NA,1,"[0.434628299999531]","","",NA,NA,51,1
"moment","d","HIT","",NA,NA,1,"[0.6171487999999954]","","",NA,NA,51,1
"water","l","No","",NA,NA,1,"[0.43393900000046415]","","",NA,NA,51,1
"coast","l","No","",NA,NA,1,"[0.4004949000000124]","","",NA,NA,51,1
"key","l","No","",NA,NA,1,"[1.5007629000001543]","","",NA,NA,51,1
